"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления товара из корзины","10456","Проверка добавления и удаления товара","Surefire suite","Wed Jul 30 19:02:41 GMT 2025","broken","Wed Jul 30 19:02:52 GMT 2025","tests.AddRemoveProductsTest","Surefire test","tests.AddRemoveProductsTest","addRemoveProducts"
"Проверка авторизации без заполнения всех полей","398","checkLoginWithEmptyFields","Surefire suite","Wed Jul 30 19:03:03 GMT 2025","passed","Wed Jul 30 19:03:03 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyFields"
"Проверка авторизации","10431","checkLoginPositive","Surefire suite","Wed Jul 30 19:02:52 GMT 2025","broken","Wed Jul 30 19:03:03 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginPositive"
"Проверка авторизации без заполнения пароля","440","checkLoginWithEmptyPassword","Surefire suite","Wed Jul 30 19:03:04 GMT 2025","passed","Wed Jul 30 19:03:04 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","11365","checkLocators","Surefire suite","Wed Jul 30 19:02:30 GMT 2025","passed","Wed Jul 30 19:02:41 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocators"
"Проверка добавления товара в корзину с главной страницы","11234","Проверка добавления товара в корзину с главной страницы","Surefire suite","Wed Jul 30 19:02:07 GMT 2025","broken","Wed Jul 30 19:02:18 GMT 2025","tests.AddProductInCartTest","Surefire test","tests.AddProductInCartTest","checkAddProductInCart"
"Проверка авторизации: используя {0} и {1}","405","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 19:03:07 GMT 2025","passed","Wed Jul 30 19:03:08 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации: используя {0} и {1}","416","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 19:03:06 GMT 2025","passed","Wed Jul 30 19:03:07 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации: используя {0} и {1}","410","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 19:03:06 GMT 2025","passed","Wed Jul 30 19:03:06 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации без заполнения имени","430","checkLoginWithEmptyUserName","Surefire suite","Wed Jul 30 19:03:05 GMT 2025","passed","Wed Jul 30 19:03:05 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка добавления товара в корзину из карточки товара","10443","checkAddProductInCartFromCard","Surefire suite","Wed Jul 30 19:02:19 GMT 2025","broken","Wed Jul 30 19:02:29 GMT 2025","tests.AddProductFromCardTest","Surefire test","tests.AddProductFromCardTest","checkAddProductInCartFromCard"
