"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления товара в корзину с главной страницы","12891","Проверка добавления товара в корзину с главной страницы","Surefire suite","Wed Jul 30 17:30:16 GMT 2025","broken","Wed Jul 30 17:30:29 GMT 2025","tests.AddProductInCartTest","Surefire test","tests.AddProductInCartTest","checkAddProductInCart"
"Проверка авторизации без заполнения имени","413","checkLoginWithEmptyUserName","Surefire suite","Wed Jul 30 17:31:16 GMT 2025","passed","Wed Jul 30 17:31:17 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка авторизации: используя {0} и {1}","408","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 17:31:18 GMT 2025","passed","Wed Jul 30 17:31:18 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"","11007","checkLocators","Surefire suite","Wed Jul 30 17:30:41 GMT 2025","passed","Wed Jul 30 17:30:52 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocators"
"Проверка удаления товара из корзины","10587","Проверка добавления и удаления товара","Surefire suite","Wed Jul 30 17:30:53 GMT 2025","broken","Wed Jul 30 17:31:03 GMT 2025","tests.AddRemoveProductsTest","Surefire test","tests.AddRemoveProductsTest","addRemoveProducts"
"Проверка добавления товара в корзину из карточки товара","10827","checkAddProductInCartFromCard","Surefire suite","Wed Jul 30 17:30:30 GMT 2025","broken","Wed Jul 30 17:30:41 GMT 2025","tests.AddProductFromCardTest","Surefire test","tests.AddProductFromCardTest","checkAddProductInCartFromCard"
"Проверка авторизации без заполнения всех полей","396","checkLoginWithEmptyFields","Surefire suite","Wed Jul 30 17:31:15 GMT 2025","passed","Wed Jul 30 17:31:15 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyFields"
"Проверка авторизации: используя {0} и {1}","411","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 17:31:17 GMT 2025","passed","Wed Jul 30 17:31:17 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации","10446","checkLoginPositive","Surefire suite","Wed Jul 30 17:31:04 GMT 2025","broken","Wed Jul 30 17:31:14 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginPositive"
"Проверка авторизации без заполнения пароля","407","checkLoginWithEmptyPassword","Surefire suite","Wed Jul 30 17:31:15 GMT 2025","passed","Wed Jul 30 17:31:16 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка авторизации: используя {0} и {1}","413","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 17:31:19 GMT 2025","passed","Wed Jul 30 17:31:19 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
