"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Saucedemo-1.0","0","add to cart in saucedemo","0","0","Добавление в корзину","0"
"1","Saucedemo-1.0","0","Login in saucedemo","6","0","Авторизация","0"
"0","","0","","1","0","","0"
"1","Saucedemo-1.0","0","add to cart in saucedemo","0","0","Удаление из корзины","0"
"1","Saucedemo-1.0","0","add from card to cart in saucedemo","0","0","Добавление в корзину","0"
