"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10799","checkLocators","Surefire suite","Wed Jul 30 18:01:26 GMT 2025","passed","Wed Jul 30 18:01:37 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocators"
"Проверка авторизации: используя {0} и {1}","429","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 18:02:02 GMT 2025","passed","Wed Jul 30 18:02:03 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка удаления товара из корзины","10495","Проверка добавления и удаления товара","Surefire suite","Wed Jul 30 18:01:37 GMT 2025","broken","Wed Jul 30 18:01:48 GMT 2025","tests.AddRemoveProductsTest","Surefire test","tests.AddRemoveProductsTest","addRemoveProducts"
"Проверка авторизации: используя {0} и {1}","428","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 18:02:02 GMT 2025","passed","Wed Jul 30 18:02:02 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка добавления товара в корзину из карточки товара","10471","checkAddProductInCartFromCard","Surefire suite","Wed Jul 30 18:01:15 GMT 2025","broken","Wed Jul 30 18:01:26 GMT 2025","tests.AddProductFromCardTest","Surefire test","tests.AddProductFromCardTest","checkAddProductInCartFromCard"
"Проверка авторизации без заполнения пароля","431","checkLoginWithEmptyPassword","Surefire suite","Wed Jul 30 18:02:00 GMT 2025","passed","Wed Jul 30 18:02:00 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка авторизации","10426","checkLoginPositive","Surefire suite","Wed Jul 30 18:01:48 GMT 2025","broken","Wed Jul 30 18:01:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginPositive"
"Проверка добавления товара в корзину с главной страницы","11432","Проверка добавления товара в корзину с главной страницы","Surefire suite","Wed Jul 30 18:01:03 GMT 2025","broken","Wed Jul 30 18:01:15 GMT 2025","tests.AddProductInCartTest","Surefire test","tests.AddProductInCartTest","checkAddProductInCart"
"Проверка авторизации без заполнения всех полей","414","checkLoginWithEmptyFields","Surefire suite","Wed Jul 30 18:01:59 GMT 2025","passed","Wed Jul 30 18:01:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyFields"
"Проверка авторизации без заполнения имени","416","checkLoginWithEmptyUserName","Surefire suite","Wed Jul 30 18:02:01 GMT 2025","passed","Wed Jul 30 18:02:01 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка авторизации: используя {0} и {1}","419","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 18:02:03 GMT 2025","passed","Wed Jul 30 18:02:04 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
