"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации без заполнения пароля","418","checkLoginWithEmptyPassword","Surefire suite","Wed Jul 30 17:25:01 GMT 2025","passed","Wed Jul 30 17:25:02 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка авторизации: используя {0} и {1}","430","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 17:25:04 GMT 2025","passed","Wed Jul 30 17:25:04 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации: используя {0} и {1}","411","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 17:25:05 GMT 2025","passed","Wed Jul 30 17:25:05 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка удаления товара из корзины","10507","Проверка добавления и удаления товара","Surefire suite","Wed Jul 30 17:24:39 GMT 2025","broken","Wed Jul 30 17:24:49 GMT 2025","tests.AddRemoveProductsTest","Surefire test","tests.AddRemoveProductsTest","addRemoveProducts"
"","1","checkLocators","Surefire suite","Wed Jul 30 17:24:38 GMT 2025","skipped","Wed Jul 30 17:24:38 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocators"
"Проверка добавления товара в корзину из карточки товара","10486","checkAddProductInCartFromCard","Surefire suite","Wed Jul 30 17:24:27 GMT 2025","broken","Wed Jul 30 17:24:38 GMT 2025","tests.AddProductFromCardTest","Surefire test","tests.AddProductFromCardTest","checkAddProductInCartFromCard"
"","1","setup","Surefire suite","Wed Jul 30 17:24:38 GMT 2025","broken","Wed Jul 30 17:24:38 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","setup"
"Проверка авторизации: используя {0} и {1}","426","checkLoginWithNegativeValue1","Surefire suite","Wed Jul 30 17:25:03 GMT 2025","passed","Wed Jul 30 17:25:04 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации без заполнения имени","445","checkLoginWithEmptyUserName","Surefire suite","Wed Jul 30 17:25:02 GMT 2025","passed","Wed Jul 30 17:25:03 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка добавления товара в корзину с главной страницы","10736","Проверка добавления товара в корзину с главной страницы","Surefire suite","Wed Jul 30 17:24:16 GMT 2025","broken","Wed Jul 30 17:24:27 GMT 2025","tests.AddProductInCartTest","Surefire test","tests.AddProductInCartTest","checkAddProductInCart"
"Проверка авторизации без заполнения всех полей","450","checkLoginWithEmptyFields","Surefire suite","Wed Jul 30 17:25:01 GMT 2025","passed","Wed Jul 30 17:25:01 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyFields"
"Проверка авторизации","10460","checkLoginPositive","Surefire suite","Wed Jul 30 17:24:50 GMT 2025","broken","Wed Jul 30 17:25:00 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginPositive"
