"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Saucedemo-1.0","0","Login in saucedemo","12","0","Авторизация","0"
"2","Saucedemo-1.0","0","add from card to cart in saucedemo","0","0","Добавление в корзину","0"
"2","Saucedemo-1.0","0","add to cart in saucedemo","0","0","Добавление в корзину","0"
