"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка авторизации без заполнения всех полей","489","checkLoginWithEmptyFields","SauceDemo SmokeTest","Wed Jul 30 16:26:23 GMT 2025","passed","Wed Jul 30 16:26:23 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyFields"
"Проверка авторизации без заполнения пароля","425","checkLoginWithEmptyPassword","SauceDemo SmokeTest","Wed Jul 30 16:26:16 GMT 2025","passed","Wed Jul 30 16:26:16 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка авторизации без заполнения всех полей","420","checkLoginWithEmptyFields","SauceDemo SmokeTest","Wed Jul 30 16:26:15 GMT 2025","passed","Wed Jul 30 16:26:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyFields"
"Проверка авторизации без заполнения имени","474","checkLoginWithEmptyUserName","SauceDemo SmokeTest","Wed Jul 30 16:26:25 GMT 2025","passed","Wed Jul 30 16:26:25 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка авторизации: используя {0} и {1}","500","checkLoginWithNegativeValue1","SauceDemo SmokeTest","Wed Jul 30 16:26:26 GMT 2025","passed","Wed Jul 30 16:26:26 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации: используя {0} и {1}","493","checkLoginWithNegativeValue1","SauceDemo SmokeTest","Wed Jul 30 16:26:27 GMT 2025","passed","Wed Jul 30 16:26:27 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации без заполнения пароля","490","checkLoginWithEmptyPassword","SauceDemo SmokeTest","Wed Jul 30 16:26:24 GMT 2025","passed","Wed Jul 30 16:26:24 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка авторизации: используя {0} и {1}","418","checkLoginWithNegativeValue1","SauceDemo SmokeTest","Wed Jul 30 16:26:17 GMT 2025","passed","Wed Jul 30 16:26:18 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации: используя {0} и {1}","420","checkLoginWithNegativeValue1","SauceDemo SmokeTest","Wed Jul 30 16:26:19 GMT 2025","passed","Wed Jul 30 16:26:19 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации","12116","checkLoginPositive","SauceDemo SmokeTest","Wed Jul 30 16:26:02 GMT 2025","broken","Wed Jul 30 16:26:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginPositive"
"Проверка добавления товара в корзину из карточки товара","10535","checkAddProductInCartFromCard","SauceDemo SmokeTest","Wed Jul 30 16:26:40 GMT 2025","broken","Wed Jul 30 16:26:51 GMT 2025","tests.AddProductFromCardTest","Edge","tests.AddProductFromCardTest","checkAddProductInCartFromCard"
"Проверка добавления товара в корзину с главной страницы","10549","Проверка добавления товара в корзину с главной страницы","SauceDemo SmokeTest","Wed Jul 30 16:26:29 GMT 2025","broken","Wed Jul 30 16:26:39 GMT 2025","tests.AddProductInCartTest","Edge","tests.AddProductInCartTest","checkAddProductInCart"
"Проверка добавления товара в корзину с главной страницы","10436","Проверка добавления товара в корзину с главной страницы","SauceDemo SmokeTest","Wed Jul 30 16:26:20 GMT 2025","broken","Wed Jul 30 16:26:30 GMT 2025","tests.AddProductInCartTest","Chrome","tests.AddProductInCartTest","checkAddProductInCart"
"Проверка авторизации","11751","checkLoginPositive","SauceDemo SmokeTest","Wed Jul 30 16:26:10 GMT 2025","broken","Wed Jul 30 16:26:22 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginPositive"
"Проверка авторизации: используя {0} и {1}","506","checkLoginWithNegativeValue1","SauceDemo SmokeTest","Wed Jul 30 16:26:28 GMT 2025","passed","Wed Jul 30 16:26:28 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка авторизации: используя {0} и {1}","411","checkLoginWithNegativeValue1","SauceDemo SmokeTest","Wed Jul 30 16:26:18 GMT 2025","passed","Wed Jul 30 16:26:19 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка добавления товара в корзину из карточки товара","10512","checkAddProductInCartFromCard","SauceDemo SmokeTest","Wed Jul 30 16:26:31 GMT 2025","broken","Wed Jul 30 16:26:41 GMT 2025","tests.AddProductFromCardTest","Chrome","tests.AddProductFromCardTest","checkAddProductInCartFromCard"
"Проверка авторизации без заполнения имени","425","checkLoginWithEmptyUserName","SauceDemo SmokeTest","Wed Jul 30 16:26:17 GMT 2025","passed","Wed Jul 30 16:26:17 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyUserName"
